cod_part,nome,faixa_etaria,genero,amostra,cod_escala
A9057,alexandre.mpataki,De 25 a 29 anos,Masculino,t,3
A8375,amandasimonini,De 25 a 29 anos,Feminino,t,5
B4704,belapurckote,De 18 a 24 anos,Feminino,t,3
B2160,bruno_barreto,De 18 a 24 anos,Masculino,t,5
B9005,brunop505,De 18 a 24 anos,Masculino,t,5
F4877,fabinhoset,De 25 a 29 anos,Masculino,t,5
F9459,fabricioheiss,De 18 a 24 anos,Masculino,t,3
G3163,gabaugusto.97,De 18 a 24 anos,Masculino,t,4
G5804,gabriel.vinicyus.s,De 18 a 24 anos,Masculino,t,5
G2531,gabrielpimenta,De 18 a 24 anos,Masculino,t,2
I9683,isabellegiovana12,De 18 a 24 anos,Feminino,t,3
I4968,isabellelanger,De 25 a 29 anos,Feminino,t,3
J8901,joaocastrotoledop,De 18 a 24 anos,Masculino,t,3
J3370,joaogbur,De 18 a 24 anos,Masculino,t,4
J1628,joaomapr,De 18 a 24 anos,Masculino,t,4
J4682,joelma.filomeno,De 25 a 29 anos,Feminino,t,5
L4503,la.fercosta,De 18 a 24 anos,Feminino,t,5
L1602,lucasrolindesouza,De 18 a 24 anos,Masculino,t,4
P3776,pietroguariza,De 18 a 24 anos,Masculino,t,3
R6697,rafaelgumoreira,De 18 a 24 anos,Masculino,t,2
R3313,rafaelvinicius675,De 25 a 29 anos,Masculino,t,5
R9339,renanjragazzi,De 25 a 29 anos,Masculino,t,4
S5778,santoscdanilo1.5,De 18 a 24 anos,Masculino,t,4
A8539,amandapereiraantunes,De 30 a 34 anos,Feminino,f,4
K9523,kauemv2,De 25 a 29 anos,Masculino,f,5
R2490,raphageoc,De 30 a 34 anos,Masculino,f,2
C6573,cecilia.ferraz23,De 18 a 24 anos,Feminino,f,5
G3668,gustavo.werle2,De 18 a 24 anos,Masculino,f,2
T5428,tiago.luiz.bastos,De 40 a 44 anos,Masculino,f,4
E1008,evertonbertanbortolini,De 25 a 29 anos,Masculino,f,2
N1759,niedja.geo,De 30 a 34 anos,Feminino,f,5
T4914,thiago.higuchi,De 25 a 29 anos,Masculino,f,5
A3313,andressa.muraro,De 25 a 29 anos,Feminino,f,5
I1312,ilichcontreras333,De 35 a 39 anos,Masculino,f,4
J5425,jaquelinepisetta,De 25 a 29 anos,Feminino,f,5
